"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58412","서울특별시 송파구 가락동","199","0199","0000","프라자","133.7600","202410","26","152,000","6","8","개인","개인","1985","문정로 125","-","중개거래","서울 송파구","25.01.10"
"58413","서울특별시 송파구 문정동","145","0145","0000","문정시영","39.6900","202410","26","61,000","4","9","개인","개인","1989","송이로31길 56","-","중개거래","서울 송파구","24.12.23"
"58414","서울특별시 송파구 신천동","17","0017","0000","파크리오","84.7900","202410","26","246,500","112","32","개인","개인","2008","올림픽로 435","-","중개거래","서울 송파구","25.07.15"
"58415","서울특별시 송파구 가락동","51-1","0051","0001","쌍용스윗닷홈(105동)","122.4300","202410","26","135,500","105","7","개인","개인","2005","송이로17길 10","-","중개거래","서울 송파구","25.02.14"
"58416","서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","84.9700","202410","26","223,000","104","9","개인","개인","1995","논현로 213","-","중개거래","서울 강남구","25.01.24"
"58417","서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","84.9700","202410","26","223,000","-","9","개인","개인","1995","논현로 213","20241107","중개거래","서울 강남구","-"
"58418","서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","124.6600","202410","26","246,000","105","10","개인","개인","1995","논현로 213","-","중개거래","서울 강남구","25.02.28"
"58419","서울특별시 송파구 송파동","243","0243","0000","래미안송파파인탑","71.7300","202410","26","175,000","109","5","개인","개인","2012","오금로32길 31","-","중개거래","서울 송파구","25.03.28"
"58420","서울특별시 송파구 송파동","151","0151","0000","2차한양아파트","126.9000","202410","26","180,000","25","4","개인","개인","1984","가락로 192","-","중개거래","서울 송파구","25.01.13"
"58421","서울특별시 송파구 송파동","151","0151","0000","2차한양아파트","146.9600","202410","26","188,000","제21","4","개인","개인","1984","가락로 192","-","중개거래","서울 송파구","25.02.10"
"58422","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","91.9600","202410","26","187,000","612","9","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","25.02.20"
"58423","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.7300","202410","26","85,000","106","6","개인","개인","1997","강남대로146길 28","-","중개거래","경기 성남시 분당구","25.02.07"
"58424","서울특별시 강동구 명일동","332","0332","0000","명일지에스아파트","59.7900","202410","26","78,800","101","11","개인","개인","1999","상암로51길 61","-","중개거래","서울 강동구","25.02.10"
"58425","서울특별시 강동구 고덕동","499","0499","0000","고덕 아이파크","114.9800","202410","26","184,500","105","9","개인","개인","2011","동남로79길 26","-","중개거래","서울 강동구","24.12.27"
"58426","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5000","202410","26","282,700","524","8","개인","개인","1978","송파대로 567","-","중개거래","서울 송파구","25.01.24"
"58427","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5000","202410","26","285,800","508","11","개인","개인","1978","송파대로 567","-","중개거래","서울 송파구","25.01.20"
"58428","서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.9100","202410","26","119,500","108","17","개인","개인","1997","송파대로32길 15","-","중개거래","서울 송파구","25.01.03"
"58429","서울특별시 송파구 오금동","2","0002","0000","대림","84.9100","202410","26","147,000","7","15","개인","개인","1988","마천로7길 4","-","중개거래","경기 용인시 기흥구, 서울 송파구","24.12.23"
"58430","서울특별시 중랑구 신내동","657","0657","0000","신내9진흥","49.9300","202410","26","44,500","910","4","개인","개인","1996","신내로 127","-","중개거래","서울 중랑구","24.11.29"
"58431","서울특별시 성북구 길음동","1282","1282","0000","길음뉴타운5단지(래미안)","84.9600","202410","26","104,500","505","13","개인","개인","2006","길음로 74","-","중개거래","서울 성북구","25.01.21"
"58432","서울특별시 성북구 길음동","1284","1284","0000","길음뉴타운8단지(래미안)","59.9900","202410","26","94,000","821","8","개인","개인","2010","길음로 33","-","중개거래","서울 성북구","25.01.20"
"58433","서울특별시 성북구 석관동","10","0010","0000","두산","84.9000","202410","26","76,000","108","1","개인","개인","1998","화랑로48길 16","-","중개거래","서울 성북구","25.02.28"
"58434","서울특별시 중랑구 상봉동","113","0113","0000","상봉어반뷰","13.2600","202410","26","11,500","-","12","개인","개인","2018","면목로 489","-","중개거래","서울 중랑구","24.12.09"
"58435","서울특별시 성북구 정릉동","1020","1020","0000","정릉우성아파트 101~105동","84.9600","202410","26","67,300","정릉 우성아파트 105","18","개인","개인","2000","북악산로 813","-","중개거래","서울 성북구","24.12.12"
"58436","서울특별시 성북구 정릉동","1028","1028","0000","정릉e-편한세상","114.5600","202410","26","90,000","108","12","개인","개인","2006","솔샘로24길 15","-","중개거래","서울 강북구, 서울 성북구","24.12.23"
"58437","서울특별시 도봉구 창동","316","0316","0000","창동주공2단지","41.3000","202410","26","40,000","204동","8","개인","개인","1990","해등로12길 44","-","중개거래","서울 도봉구","25.01.07"
"58438","서울특별시 동대문구 회기동","67-3","0067","0003","민족통일MJ캠퍼스경희대","23.1600","202410","26","22,500","-","12","개인","개인","2017","이문로 3","-","중개거래","서울 동대문구","25.01.06"
"58439","서울특별시 중랑구 신내동","397","0397","0000","동성1","59.4000","202410","26","49,600","-","18","개인","개인","1993","신내로 128","20241106","중개거래","서울 중랑구","-"
"58440","서울특별시 동대문구 장안동","454-2","0454","0002","비젼아파트102동","84.4000","202410","26","58,000","비젼 아파트 102","2","개인","개인","2005","천호대로95길 23","-","중개거래","서울 동대문구, 서울 성동구","25.04.04"
"58441","서울특별시 도봉구 창동","347","0347","0000","창동주공3단지(해등마을)","45.7700","202410","26","54,000","317동","7","개인","개인","1991","해등로 50","-","중개거래","서울 도봉구","25.01.02"
"58442","서울특별시 중랑구 신내동","397","0397","0000","동성1","59.4000","202410","26","49,600","6","18","개인","개인","1993","신내로 128","-","중개거래","서울 중랑구","24.12.30"
"58443","서울특별시 성북구 장위동","323","0323","0000","꿈의숲아이파크","84.4800","202410","26","119,000","712","25","개인","개인","2022","돌곶이로40길 46","-","중개거래","서울 성북구","25.02.06"
"58444","서울특별시 중랑구 중화동","450","0450","0000","한신아파트상가동유치원동(103~109)","59.7600","202410","26","64,300","105","7","개인","개인","1998","동일로 752","-","중개거래","서울 중랑구","25.01.02"
"58445","서울특별시 중랑구 상봉동","63","0063","0000","건영2차아파트","84.9600","202410","25","69,800","208","14","개인","개인","1996","신내로7나길 24","-","중개거래","서울 동대문구, 서울 중랑구","25.01.17"
"58446","서울특별시 동대문구 휘경동","368","0368","0000","브라운스톤휘경","84.9100","202410","25","90,600","105","4","개인","개인","2013","망우로20길 86","-","중개거래","서울 동대문구","25.02.28"
"58447","서울특별시 성북구 길음동","1284","1284","0000","길음뉴타운8단지(래미안)","84.8200","202410","25","117,000","814","13","개인","개인","2010","길음로 33","-","중개거래","서울 성북구","25.01.06"
"58448","서울특별시 성북구 종암동","104-1","0104","0001","종암에스케이","59.0400","202410","25","66,500","106","17","개인","개인","1999","종암로24가길 53","-","중개거래","서울 성북구","24.12.13"
"58449","서울특별시 성북구 돈암동","609-1","0609","0001","한진(609-1)","84.8700","202410","25","72,000","213동","12","개인","개인","1998","성북로4길 52","-","직거래","-","24.11.14"
"58450","서울특별시 성북구 돈암동","1","0001","0000","돈암현대아파트","68.7600","202410","25","65,000","104","6","개인","개인","1991","정릉로 404","-","중개거래","서울 성북구","25.02.26"
"58451","서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","114.8500","202410","25","72,000","-","18","개인","개인","2004","솔샘로 174","20241227","중개거래","서울 강북구","-"
"58452","서울특별시 강북구 미아동","461","0461","0000","송천센트레빌","114.4750","202410","25","110,000","202","7","개인","개인","2010","숭인로 39","-","중개거래","서울 강북구, 서울 성북구","24.10.25"
"58453","서울특별시 강북구 미아동","1369","1369","0000","꿈의숲해링턴플레이스","59.8800","202410","25","77,000","109","6","개인","개인","2019","오현로 45","-","중개거래","서울 강북구","24.11.28"
"58454","서울특별시 중랑구 신내동","397","0397","0000","동성1","84.9800","202410","25","62,000","1","8","개인","개인","1993","신내로 128","-","중개거래","서울 중랑구","24.11.08"
"58455","서울특별시 중랑구 묵동","396","0396","0000","이편한세상화랑대","59.9530","202410","25","87,000","105동","11","개인","개인","2017","숙선옹주로 45","-","중개거래","서울 중랑구","25.01.31"
"58456","서울특별시 도봉구 쌍문동","53","0053","0000","성원","71.7800","202410","25","46,500","104","6","개인","개인","1989","해등로 242-11","-","중개거래","서울 도봉구","24.12.11"
"58457","서울특별시 동작구 본동","484","0484","0000","경동윈츠리버","56.6800","202410","25","87,000","103","5","개인","개인","2004","노량진로32길 156","-","중개거래","서울 동작구","25.03.26"
"58458","서울특별시 동작구 흑석동","328","0328","0000","흑석동양아파트","84.9910","202410","25","105,000","105","2","개인","개인","2003","서달로1길 17","-","중개거래","서울 동작구","24.11.05"
